Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      3.25     0.00       78     0.00     0.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      3.25     0.00       78     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      3.25     0.00       76     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      3.25     0.00       76     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      3.25     0.00       76     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      3.25     0.00       72     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_M_swap_data(std::_Vector_base<int, std::allocator<int> >::_Vector_impl&)
  0.00      3.25     0.00       65     0.00     0.00  std::remove_reference<Piece*&>::type&& std::move<Piece*&>(Piece*&)
  0.00      3.25     0.00       58     0.00     0.00  std::_Miter_base<Piece**>::iterator_type std::__miter_base<Piece**>(Piece**)
  0.00      3.25     0.00       44     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      3.25     0.00       44     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      3.25     0.00       42     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int> >::_S_select_on_copy(std::allocator<int> const&)
  0.00      3.25     0.00       42     0.00     0.00  __gnu_cxx::new_allocator<Piece*>::max_size() const
  0.00      3.25     0.00       42     0.00     0.00  std::move_iterator<Piece**>::base() const
  0.00      3.25     0.00       42     0.00     0.00  std::_Iter_base<std::move_iterator<Piece**>, true>::_S_base(std::move_iterator<Piece**>)
  0.00      3.25     0.00       42     0.00     0.00  std::move_iterator<Piece**>::move_iterator(Piece**)
  0.00      3.25     0.00       42     0.00     0.00  std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&)
